**Laura Lattuada;Nel 1981 l'attrice è protagonista dello sceneggiato televisivo "Storia di Anna" dove interpreta...;Una studentessa diligente;Una tossicodipendente impenitente;Una casalinga di pessima qualità;2
**Clint Eastwood;Attore, regista, produttore cinematografico è stato anche politico con la carica di...;Governatore;Sindaco;Senatore;2
**Locuzioni;Dare l'aut aut significa...;Obbligare a scegliere tra due cose;Invitare ad uscire;Annunciare;1
Besciamella;È una...;Salsa;Bacinella;Attrezzo chirurgico;1
Birra;Quale ordine monastico produce tale bevanda?;Monaci Trappisti;Monaci Benedettini;Monaci Francescani;1
Biscotti;Il nome significa...;Dolcetti;Cotti due volte;Manicaretti;2
Bob Dylan;Il cantautore americano ha vinto il Nobel per la letteratura nel...;2015;2016;2018;2
Boma;Nella nautica è...;Il punto di appoggio del remo;Una parte della vela;Una parte del timone;2
Bomba atomica;Il primo paese ad usarla è stato...;Giappone;Unione Sovietica;Stati Uniti;3
Bombolone;È un dolce...;Al forno;Fritto;Lesso;2
Brachetto;È un...;Whisky;Liquore amaro;Vino per dolci;3
Brasato;Piatto con carne di …;Maiale;Manzo;Tacchino;2
Brigate Rosse;Gruppo terroristico responsabile del sequestro di …;Francesco Cossiga;Aldo Moro;Giulio Andreotti;2
Broccoli;Sono detti anche...;Cavolo-broccoli;Broccoletti;Rape-broccoli;1
Bronx;È...;Una città;Un quartiere di New York;Un'isola;2
Brunelleschi;Il grande scultore fiorentino si chiamava...;Guido;Filippo;Dante;2
Cacciatore;Battitore, capocaccia e bracconiere sono sinonimi?;Sì;Solo due;Nessuno;1
Calcio di rigore;In inglese è detto...;Kick off;Penalty;Goal;2
Calcio;Quanti campionati del mondo ha vinto l'Italia?;4;5;6;1
Caltagirone;Comune in provincia di...;Catania;Messina;Palermo;1
Canarino;È così chiamato...;Per il canto;Perché originario delle isole Canarie;Per il suo colore;2
Cane;Quale dei seguenti non è un cane da caccia?;Beagle;Terrier;Maltese;3
Canguro;Il più grande dei canguri è il...;Canguro rosso;Canguro grigio;Canguro lepre;1
Canzone "La banda";L'autore, Chico Buarque de Hollanda, è di nazionalità...;Portoghese;Brasiliana;Olandese;2
Capital gain;È sinonimo di...;Plusvalenza;Minusvalenza;Utile di bilancio;1
Caprera;Isola facente parte dell'arcipelago de...;Le Baleari;La Maddalena;Le Eolie;2
Capri;E’ detta …;Isola dei sogni;Isola azzurra;Isola felice;2
Carboneria;Società segreta rivoluzionaria che nacque...;In Francia;In Spagna;Nel Regno di Napoli;3
Carciofo;Ha proprietà depurative per...;Lo stomaco;Il fegato;Il sangue;2
Cardellino;Quale dei seguenti colori caratterizzano il suo piumaggio?;Nero;Giallo;Entrambi;3
Carità pelosa;Significa;Donazione periodica;Donazione occasionale;Donazione interessata;3
Carota;Il suo contenuto di carotene...;Conserva l'abbronzatura;Elimina l'abbronzatura;È ininfluente;1
Carta ricaricabile;È una...;Carta di credito;Carta di debito;Titolo al portatore;2
Carte da gioco;Le carte da gioco italiane sono...;40;52;56;1
Cartello;Le imprese che costituiscono un cartello hanno fatto...;Un'associazione;Un accordo;Un consorzio;2
Cartilagine;È un tessuto...;Duro;Rigido;Flessibile;3
Cartoni Animati;Qual è il nome della principessa di Shrek?;Fiona;Astrid;Freya;1
Casalinga di Voghera;Espressione giornalistica che indica...;Persona poco istruita, con lavoro umile;Massaia risparmiatrice;Cuoca popolana;1
Cassius Clay;Il pugile, categoria pesi massimi, era alto...;189 cm;191 cm;192 cm;2
Castello;In epoca medievale era...;Una dimora per nobili;Una fortezza;Entrambe;3
Catapulta;Arma da assedio usata per lanciare...;Frecce;Pietre;Lance;2
Cava;È il luogo da dove si estraggono materiali utili per...;L'alimentazione;L'edilizia;La carta;2
Cavaliere della Repubblica;Per ottenere questo titolo onorifico è richiesta l'età di...;30 anni;35 anni;40 anni;2
Cavalleria Rusticana;Come si chiama il marito di Lola?;Alfio;Turiddu;Salvo;1
Chi disse...?;Chi dice che è impossibile non dovrebbe disturbare chi ce la sta facendo.;Albert Einstein;Nostradamus;Charles Dickens;1
Chicago;Si affaccia sul...;Lago Erie;Lago Michigan;Oceano Atlantico;2
Ciarlatano;È sinonimo di...;Cerimoniere;Impostore;Sommelier;2
Cibi poveri di sodio;Sono gli alimenti...;Freschi;Stagionati;Congelati;1
Cinema;La protagonista del film "Lara Croft: Tomb Raider" è…;Jennifer Aniston;Angelina Jolie;Courteney Cox;2
Clint Eastwood;Attore, regista, produttore cinematografico è stato anche politico con la carica di...;Governatore;Sindaco;Senatore;2
Colibrì;Dove vivono questi uccelli?;Europa;Asia;America;3
Comune;È un ente...;Morale;Territoriale;Patrimoniale;2
Conferenza di Monaco;Patto con cui la Germania, nel 1938, veniva autorizzata ad...;Annettersi la Cecoslovacchia;Invadere la Polonia;Invadere l'Austria;1
Contratto;Insieme di patti da cui derivano...;Diritti ed obblighi;Diritti ed interessi;Diritti e doveri;1
Cracovia;È una città della...;Polonia;Repubblica Ceca;Bielorussia;1
Crimea;Rispetto all'Italia si trova a...;Nord;Est;Ovest;2
Crimini di guerra;Qual è la pena massima prevista per detti crimini?;Pena di morte;Ergastolo;30 anni di reclusione;2
Cristoforo Colombo;Il famoso navigatore era di …;Genova;Pisa;Livorno;1
Cruciverba;Le indicazioni per le parole da inserire sono dette...;Prescrizioni;Definizioni;Indizi;2
Cuba;Cuba Libre, Daiquiri, Mojito. Sono...;Cocktail cubani;Eroi della rivoluzione cubana;Locali famosi dell'Havana;1
Daltonismo;È un difetto della vista che...;Fa vedere sfocato;Non fa distinguere i colori;Non fa distinguere le forme;2
Deltaplano;Detto anche "Ala Rogallo", dal nome del suo inventore, può volare fino a...;Due ore;Un'ora;Venti minuti;3
Diabolik;Come si chiama l'editore?;Bonelli;Giappichelli;Astorina;3
Diario;È una raccolta di...;Giornali;Disegni;Annotazioni;3
Diego Armando Maradona;Pallone d'Oro, Mondiale di calcio, Scudetto. Quanti di questi titoli ha vinto?;Uno;Due;Tre;2
Disney;In quale stato ha la sede principale?;Ohio;California;Texas;2
Domeniche d'Avvento;Quante sono?;3;4;5;2
Domotica;Cosa significa?;Robot elettronico;Automazione domestica;Design domestico;2
Donald Trump;È stato il...;40° Presidente degli Stati Uniti;45° Presidente degli Stati Uniti;47° Presidente degli Stati Uniti;2
Donazione;Chi riceve una donazione si chiama...;Erede;Donatario;Mandatario;2
Dono;Quale dei seguenti termini non è sinonimo di dono?;Cadeau;Presente;Cadetto;3
Drone;È...;Un esplosivo;Un militare;Un velivolo;3
Dungeons & Dragons;È un...;Gioco di ruolo;Genere letterario;Gioco di carte;1
Dustin Hoffman;Ha vinto l'oscar al migliore attore nel film...;Kramer contro Kramer;Il laureato;Rain Man;3
Economia;La sua definizione è "Adeguamento dei mezzi...";Scarsi;Graduati;Globali;1
Edoardo Bennato;"Il Gatto e la Volpe" è stato pubblicato nell'album...;La Torre di Babele;Io che non sono l'imperatore;Burattino senza fili;3
Elisabetta II;A che età fu incoronata regina?;25 anni;28 anni;32 anni;1
Elsa Morante;La scrittrice era originaria di...;Roma;Milano;Firenze;1
Enigmistica;È un gioco...;Di carte;Da tavolo;Di parole;3
Ennio Morricone;Musicista famoso per...;Le sinfonie;Per i concerti;Per le colonne sonore di film;3
Entrecôte;È carne di...;Maiale;Manzo;Pecora;2
Enzo Jannacci;Quale delle seguenti è una sua canzone?;Ci vuole orecchio;Mamma mia;Nel covo dei pirati;1
Eolie;L'arcipelago si trova al largo delle coste della...;Campania;Toscana;Sicilia;3
Eschilo;Era un...;Tragediografo;Astronomo;Militare;1
Esercito romano;Con l'imperatore Augusto era formato da circa...;150.000 soldati;200.000 soldati;250.000 soldati;3
Estintore;È un apparecchio per...;Spegnere il fuoco;Tingere indumenti;Uccidere animali;1
Eta Beta;Il personaggio Disney è allergico...;Alle fragole;Al prosciutto;Al denaro;3
Etiopia;Si affaccia sul...;Mar Rosso;Golfo di Aden;Non ha sbocchi sul mare;3
Facebook;È un...;Social club;Club di amici;Social network;3
Faggio;Il legno di faggio è attaccabile dagli insetti in misura...;Larga;Moderata;Scarsa;3
Fagioli;Quale dei seguenti non è un tipo di fagioli?;Borlotti;Colfiorito;Cannellini;2
Falanghina;Vitigno diffuso in...;Piemonte;Veneto;Campania;3
Faro di Alessandria;Edificio costruito sull'isola di Pharos, aveva un'altezza di...;112 metri;134 metri;152 metri;2
Federico II;Dove è nato?;Napoli;Jesi;Torremaggiore;2
Fidia;È stato uno...;Stratega;Filosofo;Scultore;3
Firenze;La città d'arte non ospita...;Il David di Michelangelo;La cappella Sistina;Il campanile di Giotto;2
Flambé;Si tratta di...;Una tecnica di cottura;Un lampo;Una danza;1
Foglio elettronico;Serve a...?;Scrivere lettere;Disegnare;Fare calcoli;3
Fondi comuni di investimento;Strumenti di investimento destinati a...;Banche;Risparmiatori;Stati;2
Foresteria;Cosa significa?;Casetta nella foresta;Alloggio per forestieri;Casa cantoniera;2
Forestiero;Significa colui che...;Viene da fuori;Resta fuori;Resta in loco;1
Formula 1;È un gara...;Motociclistica;Ciclistica;Automobilistica;3
Fortunale;Significa...;Tempesta;Buona sorte;Casualità;1
Francesco Cossiga;È stato Presidente della Repubblica per...;Un settennato;Due settennati;Tre settennati;1
Frassino;È un...;Ortaggio;Albero;Frutto;2
Frullo;Quale animale produce tale rumore?;Marmotta;Castoro;Passero;3
Frutto;Quale dei seguenti non è un frutto?;Pera;Banana;Fragola;3
Fuliggine;È un...;Gas;Polvere;Fumo;2
Fulmine;È una scarica elettrica tra...;Cielo-cielo;Cielo-terra;Terra-terra;2
Fumantino;Significa...;Permaloso;Fumoso;Rossastro;1
Fumetti;Come si chiama il cane di Topolino?;Pluto;Tritone;Black;1
Gallina Faraona;Rispetto alla gallina è...;Più piccola;Di uguale dimensione;Più grande;3
Gara;Quale dei seguenti termini non è sinonimo di gara?;Incontro;Competizione;Scontro;3
Garibaldi;Il suo nome completo era...;Giuseppe Antonio;Giuseppe Maria;Giuseppe Francesco;2
Gasolina, canzone di Daddy Yankee;Le ragazze cantano "Dame más gasolina" e vogliono ...;La benzina;Il danaro;Uscire di sera;3
Gatto Silvestro;Il gatto dei Looney Tunes non dà la caccia a...;Titti;Speedy Gonzales;Bugs Bunny;3
Gatto;Si dice che abbia...;Tre vite;Sette vite;Dieci vite;2
Geografia;Dove si trova il lago Titicaca?;Perù-Bolivia;Perù-Cile;Cile-Argentina;1
Geometria;Il suo nome significa...;Divisione della terra;Misurazione della terra;Valutazione della terra;2
Germoglio;Quale dei seguenti non è un sinonimo?;Fiorello;Getto;Butto;1
Giallo;Colore secondario che si ottiene mescolando quali dei colori primari?;Blu e rosso;Blu e verde;Rosso e verde;3
Giampiero Mughini;Giornalista e scrittore originario della...;Calabria;Sicilia;Molise;2
Gianni Rivera;Il famoso calciatore è stato anche...;Cantante;Scrittore;Politico;3
Giardini giapponesi;Hanno lo scopo di...;Favorire il contatto con la natura;Agevolare la meditazione;Coltivare fiori e piante;2
Giardini pensili;Un giardino pensile non è...;Coltivato a terra;Coltivato su terrazza;Coltivato sul tetto;1
Gibilterra;È territorio...;Spagnolo;Britannico;Marocchino;2
Gigi Riva;Dopo gli inizi nel Legnano, il calciatore ha sempre giocato nel...;Napoli;Milan;Cagliari;3
Giochi da tavolo;Quale dei seguenti non è un gioco da tavolo?;Monopoli;Gioco dell'oca;Golf;3
Gioco d'azzardo;Il termine "azzardo" deriva dall'arabo e significa...;Rischio;Dado;Posta;2
Giovanni Leone;E’ stato il…;IV Presidente della Repubblica;V Presidente della Repubblica;VI Presidente della Repubblica;3
Giovanni Paolo II;È stato Papa per...;Circa 12 anni;Circa 19 anni;Circa 27 anni;3
Giovenca;È una...;Mucca giovane;Capra giovane;Cavalla giovane;1
Giuseppe Mazzini;Quale delle seguenti attività non ha svolto?;Musicista;Filosofo;Giornalista;1
Giuseppe Tornatore;Quale suo film ha vinto l’Oscar?;Baarìa;Nuovo Cinema Paradiso;La sconosciuta;2
Gladio;Arma dell'esercito romano consistente in una...;Spada lunga;Lancia;Spada corta;3
Governo;È un organo...;Consultivo;Esecutivo;Direttivo;2
Gran Teneré;Deserto africano il cui nome deriva dalla lingua...;Araba;Tuareg;Swahili;2
Gratta e Vinci;Si tratta di...;Concorso a premi;Lotteria istantanea;Scommessa a quota fissa;2
Gruppo Italiano;La band cantava...;Tropicana;Anni Ruggenti;Entrambe;3
Guerra dei cent'anni;Conflitto durato 116 anni che impegnò...;Francia e Germania;Francia e Inghilterra;Germania e Inghilterra;2
Guerra delle due rose;Fu una sanguinosa lotta dinastica tra i casati...;Lancaster e York;Lancaster e Windsor;York e Windsor;1
Guglielmo Marconi;Come si chiamava la nave sulla quale faceva i suoi esperimenti?;Elettra;Maria Cristina;Annie;1
Guido, i' vorrei che tu e Lapo ed io;Sonetto di...;Dante Alighieri;Guido Cavalcanti;Francesco Petrarca;1
Guittezza;Si dice di artista...;Mediocre;Brillante;Egocentrico;1
Gustav Klimt;Fu fondatore della corrente artistica...;Surrealismo;Espressionismo;Secessione viennese;3
Harry Potter;Come si chiama la scuola di magia e stregoneria che frequenta?;Dogwarts;Hogwarts;Frogwarts;2
I Ditelo Voi;È un gruppo di comici formato da...;Tre attori;Quattro attori;Cinque attori;1
Ignavo;È colui che è...;Triste;Allegro;Pigro;3
Il caffè;Dove si beve più caffè?;Italia;Finlandia;Marocco;2
Il commissario Montalbano;Come si chiama la fidanzata del commissario?;Lidia;Livia;Erica;2
Il fascismo;Quanti anni è durato?;15 anni;20 anni;24 anni;2
Il giraffista;È un...;Veterinario specializzato;Collezionista di giraffe;Microfonista;3
Il Mattino;Il giornale fu fondato da Edoardo Scarfoglio e Matilde Serao. I due erano...;Amici;Amanti;Coniugi;3
Il nome della rosa;Quale dei tre personaggi non è protagonista del romanzo?;Adso da Melk;Guglielmo da Baskerville;Erasmo da Rotterdam;3
Il pomodoro;E’...;Una verdura;Un frutto;Un fiore;2
Il seno di un angolo;Quali valori può assumere?;Da 0 a 360;Da -1 a +1;Da 1 a 10;2
Il suono;Per accordare gli strumenti si usa il "La perfetto" che è di...;420 MHz;430 MHz;440 MHz;3
Il vino;Si ottiene dalla fermentazione di zuccheri presenti...;Nell'uva;Nel mosto;Nel raspo;2
Iliade;Poema che narra le vicende di...;Ulisse;La guerra di Troia;Enea;2
Imo;Il suo significato è...;Lungo;Alto;Profondo;3
Incendio;Quando è doloso è dovuto a un comportamento...;Involontario;Casuale;Volontario;3
Insetticida;Ha la funzione di...;Mettere in fuga gli insetti;Uccidere gli insetti;Stordire gli insetti;2
Instagram;È un...;Sito web di servizi fotografici;Social network;Database ad alte prestazioni;2
Intarsio;Come si chiama chi esegue intarsi?;Tarsista;Decoratore;Entrambi;1
Intelligenza Artificiale;È una disciplina appartenente...;All'informatica;Alla matematica;Alla robotica;1
Intingolo;Cosa significa?;Tavolozza dei colori;Sugo;Barattolo di vernice;2
Ischia;In quanti Comuni è divisa l'isola?;4;5;6;3
Isola d'Elba;Fa parte della regione...;Liguria;Toscana;Lazio;2
Isola di Wight;È famosa per...;La sua forma;Il festival rock;I suoi abitanti;2
Isole Tremiti;Fanno parte della provincia di...;Taranto;Foggia;Pescara;2
Johann Sebastian Bach;Quanti figli ebbe il noto musicista?;12;16;20;3
Jovanotti;Il cantautore aretino si chiama Cherubini...;Giovanni;Lorenzo;Jonathan;2
Jugoslavia;Repubblica federale discioltasi nel...;1980;1990;1992;3
Julia Kendall;Il personaggio dei fumetti è una...;Criminologa;Investigatrice privata;Avvocatessa;1
Kant;È stato un filosofo...;Austriaco;Olandese;Tedesco;3
Kiwi;È...;Un uccello;Un frutto;Entrambi;3
Koala;Quale dei seguenti nomi non indica il koala?;Piccolo orso;Fascolarto;Piccolo panda;3
L'isola del tesoro;Il protagonista si chiama …;Jim;John;Jacob;1
L'isola del tesoro;L’autore è …;Alexandre Dumas;Kipling;Stevenson;3
L'Isola di Arturo;Romanzo di Elsa Morante ambientato a...;Ischia;Capri;Procida;3
La Bohème;Chi è l’autore?;Giacomo Puccini;Giuseppe Verdi;Richard Wagner;1
La dinamo;Chi l'ha inventata?;Guglielmo Marconi;Antonio Pacinotti;Thomas Edison;2
La mantide religiosa;Quanto è pericolosa per l'uomo?;Molto;Per niente;Discretamente;2
La nebbia agli irti colli;È il verso iniziale della poesia di Giosuè Carducci il cui titolo è...;Autunno;Vendemmia;San Martino;3
Lacryma Christi;È un vino del...;Beneventano;Casertano;Vesuvio;3
Lampone;Frutto di bosco con apporto calorico...;Alto;Medio;Basso;3
Larice;È...;Una parte del corpo umano;Un albero;Uno strumento meccanico;2
Lascito;Nel linguaggio comune è sinonimo di...;Donazione;Eredità;Compravendita;2
Latrato;È il verso del...;Gatto;Cane;Oca;2
Laura Lattuada;Nel 1981 l'attrice è protagonista dello sceneggiato televisivo "Storia di Anna" dove interpreta...;Una studentessa;Una tossicodipendente;Una casalinga;2
Le piramidi;Erano delle...;Tombe;Fortezze;Monumenti;1
Legione romana;Era composta da...;Fanti;Cavalieri;Entrambi;3
Letteratura;"Sempre caro mi fu quest'ermo colle" è l'inizio di …;L'Infinito di Giacomo Leopardi;Pianto Antico di Giosuè Carducci;Fanciullino di Giovanni Pascoli;1
Letteratura;"Nel mezzo del cammin di nostra vita' è l'incipit di ...?";"La divina commedia";"I promessi sposi";"Il decamerone";1
Locazione;Il soggetto che gode del bene locato si chiama locatario, inquilino o conduttore. Quale termine è corretto?;Uno solo;Due;Tutti;3
Lonza;Ai tempi di Dante indicava...;Un castoro;Una tigre;Un leopardo;3
Looney Tunes;Fa riferimento a un...;Personaggio dei cartoni animati;Una serie di cartoni animati;Un gruppo di disegnatori;2
Lotteria Italia;Tradizionalmente la sua estrazione avviene il...;6 gennaio;1 gennaio;31 dicembre;1
Lotteria;L'espressione "Come vincere la lotteria" si riferisce a...;Casualità;Abilità;Esperienza;1
Louisiana;E’ considerata luogo di nascita di…?;Swing;Jazz;Folk;2
Luchino Visconti;Regista di…;La città delle donne;L’albero degli zoccoli;Morte a Venezia;3
Luigi Tenco;Il cantautore era anche...;Letterato;Attore;Regista;2
Madonna;È una cantante di nazionalità...;Inglese;Australiana;Statunitense;3
Mafia;Organizzazione criminale con scopi...;Politici;Di lucro;Militari;2
Mago;Quale dei seguenti non è un mago?;Harry Potter;Amelia;Merlino;2
Maniera;Uno dei seguenti termini non è equivalente...;Modo di fare;Modo di scrivere;Usanza;2
Maniero;È sinonimo di...;Persona garbata;Castello;Stilista;2
Manometro;Apparecchio per misurare...;Il volume;La distanza;La pressione;3
Mantecare;In gastronomia ha il significato di...;Congelare;Friggere;Amalgamare;3
Mar Nero;Quale stato non è bagnato dal Mar Nero?;Bulgaria;Romania;Serbia;3
Mara Venier;Il suo vero cognome è...;Povoleri;Ferracini;Assante;1
Mario Martone;Quale delle seguenti attività non ha svolto?;Attore;Regista;Sceneggiatore;1
Marmellata;Si differenzia dalla confettura per...;La quantità di zucchero;La quantità di frutta;La quantità di acqua;2
Marsupio;Nei canguri il marsupio è presente...;Nei maschi;Nelle femmine;In entrambi;2
Martin Pescatore;Si tratta di un...;Amo da pesca;Un mito;Un uccello;3
Martin Scorsese;Quale dei seguenti non è un suo film...;Taxi driver;Shark Tale;Il cacciatore;3
Massimo Troisi;Faceva parte di un trio che si chiamava...;La scorta;La smorfia;La pratica;2
Massoneria;In Italia prende il nome di...;Massoneria d'Italia;Grande Oriente d'Italia;Grande Massoneria d'Italia;2
Mattatore;Nel gergo teatrale fa riferimento all'attore...;Di secondo piano;Che fa la comparsa;Che attira tutta l'attenzione su di sé;3
Meccanica;Branca della fisica che studia...;Il movimento dei corpi materiali;Le dimensioni dei corpi materiali;La struttura dei corpi materiali;1
Meccatronica;Quale delle seguenti sottodiscipline non include?;Elettrotecnica;Elettronica;Informatica;1
Mela;Quale delle seguenti non è un tipo di mela?;Renetta;Annurca;Spadona;3
Memoriale;È una...;Tecnica di memorizzazione;Raccolta di memorie;Insieme di nozioni;2
Menisco;È costituito da...;Osso;Cartilagine;Tendine;2
Mergellina;Zona di Napoli nel quartiere di...;Chiaia;Posillipo;Bagnoli;1
Messico e nuvole;La canzone parla di...;Paesaggi;Nostalgia;Matrimonio e divorzio;3
Messico;Stato federale che fa parte dell'...;America settentrionale;America centrale;America meridionale;1
Meta;E’ la società proprietaria di …;Facebook;Instagram;Entrambe;3
Microsoft Windows;La prima versione 1.0 è stata rilasciata nel...;1985;1995;1998;1
Mikhail Gorbaciov;Ha vinto il premio Nobel per...;La chimica;La fisica;La pace;3
Mina;La cantante è detta...;Tigre di Cremona;Pantera di Cremona;Sirena Lombarda;1
Moda;Quale casa di moda è la più famosa?;Louis Vuitton;Prada;Armani;1
Modelle;Come si chiamano le modelle in carne?;Modelle naturali;Modelle curvy;Modelle reali;2
Montana;Stato americano che confina a nord con il Canada e a sud con...;Wyoming;Nebraska;Ohio;1
Morte di un commesso viaggiatore;Dramma teatrale scritto da...;Arthur Miller;Robert Altman;Billy Wilder;1
Morte di un matematico napoletano;Film sulla vita del prof. Renato Caccioppoli, scritto e diretto da...;Mario Martone;Daniele Luchetti;Paolo Sorrentino;1
Mozart;A che età ha composto la prima opera?;5 anni;12 anni;19 anni;1
Mughetto;Quale delle seguenti definizioni è errata?;Infezione orale;Pianta erbacea;Imbarcazione;3
Municipio;L'edificio municipale non ospita...;Gli uffici comunali;La sala consiliare;La biblioteca pubblica;3
Nanotecnologie;Si occupano del controllo di materie a livello di nanometro, cioè dell'ordine di un...;Millesimo di metro;Milionesimo di metro;Miliardesimo di metro;3
Naomi Campbell;La top model è nata a...;Parigi;Londra;New York;2
Napoli;Quanti abitanti ha?;Circa 1 milione;Circa 1,5 milioni;Circa 2 milioni;1
Navajo;Nazione indiana il cui nome deriva...;Dal capostipite;Dai luoghi dove vivono;Da un animale sacro;2
Navigatore;Nel rally il navigatore è...;Il pilota;Il copilota;L'organizzatore della gara;2
Nembo;È...;Un lampo;Un tuono;Una nube;3
New York;Quanti milioni di abitanti ha?;Circa 15 milioni;Circa 20 milioni;Circa 25 milioni;2
Nicola di Bari;Nel 1970 partecipa a Sanremo con "La prima cosa bella" ed è anche autore della musica, mentre il testo è di...;Iva Zanicchi;Patty Pravo;Mogol;3
Nino Benvenuti;Pugile campione mondiale nella categoria...;Pesi Massimi;Pesi Medi;Welter;2
Nisida;L'isola non ha una delle seguenti caratteristiche. Quale?;Abitata;Collegata alla terraferma;Vulcanica;1
Nitrito;È il verso del...;Cavallo;Asino;Capra;1
Nocciole;Sono il frutto più ricco di vitamina E dopo le...;Noci;Mandorle;Castagne;2
Noce;Quale dei seguenti elementi è estraneo alla noce?;Mallo;Gheriglio;Picciolo;3
Noemi;Il vero nome della cantante romana è...;Francesca;Veronica;Cesara;2
Numismatica;Si occupa di...;Monete;Banconote;Valori bollati;1
Nuvola;È costituita da...;Particelle di vapore acqueo;Nebbia;Entrambi;1
Obbligazione;Strumento finanziario con il quale l'acquirente in sintesi...;Riceve soldi;Presta dei soldi;Paga interessi;2
Occhio clinico;Capacità del medico di...;Prescrivere farmaci;Diagnosticare malattie;Prevenire malattie;2
